ImagePath,Timestamp
12325 run4/DJI_0716.JPG,2025-01-23 13:01:38
12325 run4/DJI_0717.JPG,2025-01-23 13:01:46
12325 run4/DJI_0718.JPG,2025-01-23 13:01:54
12325 run4/DJI_0719.JPG,2025-01-23 13:02:02
12325 run4/DJI_0720.JPG,2025-01-23 13:02:12
12325 run4/DJI_0721.JPG,2025-01-23 13:02:28
12325 run4/DJI_0722.JPG,2025-01-23 13:02:40
12325 run4/DJI_0723.JPG,2025-01-23 13:02:46
12325 run4/DJI_0724.JPG,2025-01-23 13:02:52
12325 run4/DJI_0725.JPG,2025-01-23 13:02:58
12325 run4/DJI_0726.JPG,2025-01-23 13:03:08
12325 run4/DJI_0727.JPG,2025-01-23 13:03:18
12325 run4/DJI_0728.JPG,2025-01-23 13:03:24
12325 run4/DJI_0729.JPG,2025-01-23 13:03:36
12325 run4/DJI_0730.JPG,2025-01-23 13:03:42
12325 run4/DJI_0731.JPG,2025-01-23 13:03:46
12325 run4/DJI_0732.JPG,2025-01-23 13:03:50
12325 run4/DJI_0733.JPG,2025-01-23 13:03:56
12325 run4/DJI_0734.JPG,2025-01-23 13:04:02
12325 run4/DJI_0735.JPG,2025-01-23 13:04:08
12325 run4/DJI_0736.JPG,2025-01-23 13:04:18
12325 run4/DJI_0737.JPG,2025-01-23 13:04:32
12325 run4/DJI_0738.JPG,2025-01-23 13:04:38
12325 run4/DJI_0739.JPG,2025-01-23 13:04:42
12325 run4/DJI_0740.JPG,2025-01-23 13:04:46
12325 run4/DJI_0741.JPG,2025-01-23 13:04:50
12325 run4/DJI_0742.JPG,2025-01-23 13:05:02
12325 run4/DJI_0743.JPG,2025-01-23 13:05:16
12325 run4/DJI_0744.JPG,2025-01-23 13:05:22
12325 run4/DJI_0745.JPG,2025-01-23 13:05:28
12325 run4/DJI_0746.JPG,2025-01-23 13:05:38
12325 run4/DJI_0747.JPG,2025-01-23 13:05:46
12325 run4/DJI_0748.JPG,2025-01-23 13:05:52
12325 run4/DJI_0749.JPG,2025-01-23 13:05:56
12325 run4/DJI_0750.JPG,2025-01-23 13:06:02
12325 run4/DJI_0751.JPG,2025-01-23 13:06:10
